code,name,abreviated_name,members,color
PO684926,Parti communiste français,PCF,15,tab:red
PO684932,Parti socialiste,PS,25,tab:olive
PO684936,Europe Écologie Les Verts,EELV,13,tab:green
PO684938,Mouvement Démocrate,MODEM,66,tab:orange
PO710396,Les Républicains,REP,104,tab:blue
PO744856,La France Insoumise,FI,17,tab:cyan
PO744858,Régions et peuples solidaires,RPS,11,tab:brown
PO744864,"Union des démocrates, radicaux et libéraux",UDRL,24,tab:purple
PO746314,Non déclaré(s),ND,26,tab:pink
PO761294,La République en Marche,LAREM,272,tab:grey
